Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Bazainville;78;78048;;2012;;
Bazainville;78;78048;2.02;2013;;
Bazainville;78;78048;2.06;2014;;
Bazainville;78;78048;2.07;2015;;
Bazainville;78;78048;2.06;2016;;
Bazainville;78;78048;2.07;2017;;
Bazainville;78;78048;2.1;2018;;
Bazainville;78;78048;2.1;2019;;
Bazainville;78;78048;2.13;2020;;
Bazainville;78;78048;2.18;2021;;
Bazainville;78;78048;2.88;2022;;
Bazainville;78;78048;2.99;2023;;
Bazoches-sur-Guyonne;78;78050;;2012;;
Bazoches-sur-Guyonne;78;78050;2.02;2013;;
Bazoches-sur-Guyonne;78;78050;2.06;2014;;
Bazoches-sur-Guyonne;78;78050;2.07;2015;;
Bazoches-sur-Guyonne;78;78050;2.06;2016;;
Bazoches-sur-Guyonne;78;78050;2.07;2017;;
Bazoches-sur-Guyonne;78;78050;2.1;2018;;
Bazoches-sur-Guyonne;78;78050;2.1;2019;;
Bazoches-sur-Guyonne;78;78050;2.13;2020;;
Bazoches-sur-Guyonne;78;78050;2.18;2021;;
Bazoches-sur-Guyonne;78;78050;2.88;2022;;
Bazoches-sur-Guyonne;78;78050;2.99;2023;;
Béhoust;78;78053;;2012;;
Béhoust;78;78053;2.02;2013;;
Béhoust;78;78053;2.06;2014;;
Béhoust;78;78053;2.07;2015;;
Béhoust;78;78053;2.06;2016;;
Béhoust;78;78053;2.07;2017;;
Béhoust;78;78053;2.1;2018;;
Béhoust;78;78053;2.1;2019;;
Béhoust;78;78053;2.13;2020;;
Béhoust;78;78053;2.18;2021;;
Béhoust;78;78053;2.88;2022;;
Béhoust;78;78053;2.99;2023;;
Bennecourt;78;78057;;2012;;
Bennecourt;78;78057;2.84;2013;;
Bennecourt;78;78057;1.95;2014;;
Bennecourt;78;78057;1.98;2015;;
Bennecourt;78;78057;1.97;2016;;
Bennecourt;78;78057;;2017;;
Bennecourt;78;78057;;2018;;
Bennecourt;78;78057;;2019;;
Bennecourt;78;78057;;2020;;
Bennecourt;78;78057;;2021;;
Bennecourt;78;78057;;2022;;
Bennecourt;78;78057;2.76;2023;;
Beynes;78;78062;;2012;;
Beynes;78;78062;2.02;2013;;
Beynes;78;78062;2.06;2014;;
Beynes;78;78062;2.07;2015;;
Beynes;78;78062;2.06;2016;;
Beynes;78;78062;2.07;2017;;
Beynes;78;78062;2.1;2018;;
Beynes;78;78062;2.1;2019;;
Beynes;78;78062;2.13;2020;;
Beynes;78;78062;2.18;2021;;
Beynes;78;78062;2.88;2022;;
Beynes;78;78062;2.99;2023;;
Boinville-en-Mantois;78;78070;;2012;;
Boinville-en-Mantois;78;78070;;2013;;
Boinville-en-Mantois;78;78070;;2014;;
Boinville-en-Mantois;78;78070;;2015;;
Boinville-en-Mantois;78;78070;3.03;2016;3.03;6.06
Boinville-en-Mantois;78;78070;2.99;2017;3.31;6.3
Boinville-en-Mantois;78;78070;3.14;2018;3.24;6.38
Boinville-en-Mantois;78;78070;3.24;2019;;
Boinville-en-Mantois;78;78070;3.3;2020;2.9;6.2
Boinville-en-Mantois;78;78070;3.66;2021;3.02;6.68
Boinville-en-Mantois;78;78070;3.62;2022;3.17;6.79
Boinville-en-Mantois;78;78070;3.64;2023;;
Boinville-le-Gaillard;78;78071;2.37;2012;;
Boinville-le-Gaillard;78;78071;2.42;2013;;
