code_commune;code_departement;nom_departement;nom_commune;code_prelevement;date_prelevement;conclusion_conformite_prelevement;conformite_limites_bact_prelevement;conformite_limites_pc_prelevement;conformite_references_bact_prelevement;conformite_references_pc_prelevement;qualite_generale
93014;93;Seine-Saint-Denis;CLICHY-SOUS-BOIS;9300142900;2024-12-06 11:59:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93015;93;Seine-Saint-Denis;COUBRON;9300142858;2024-12-03 10:26:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93027;93;Seine-Saint-Denis;COURNEUVE (LA);9300142983;2024-12-16 12:42:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93029;93;Seine-Saint-Denis;DRANCY;9300143000;2024-12-18 11:05:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93030;93;Seine-Saint-Denis;DUGNY;9300142849;2024-12-02 09:56:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93031;93;Seine-Saint-Denis;EPINAY-SUR-SEINE;9300142976;2024-12-16 10:51:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93032;93;Seine-Saint-Denis;GAGNY;9300142901;2024-12-06 10:30:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93033;93;Seine-Saint-Denis;GOURNAY-SUR-MARNE;9300142972;2024-12-11 10:53:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93039;93;Seine-Saint-Denis;ILE-SAINT-DENIS (L');9300142850;2024-12-02 11:44:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93045;93;Seine-Saint-Denis;LILAS (LES);9300143017;2024-12-20 11:30:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
