DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D201.0;Verif_D201.0;CalculAuto_D201.0;D204.0;Verif_D204.0;CalculAuto_D204.0;VP.056;VP.190;VP.177;VP.179;VP.218;VP.178;VP.219;VP.228;VP.191;VP.175;VP.213;VP.229;VP.217;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
078;CollectivityId=219534;CC Les Portes de l'Ile de France (CCPIF);Communauté de communes;ServiceId=310754;assainissement collectif : DSP VEOLIA : Chaufour-les-Bonnières;Délégation;471;Confirmé / publié;482;Sans anomalie apparente;0;2,11;Sans anomalie apparente;1;174;0;159,82;45,26;0;48,6;0;46,65;0;482;10;2,77;0,185;84393;0;;0,405;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,3318;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=158365;Marly-le-Roi;Commune;ServiceId=158660;assainissement collectif : Marly-le-Roi;;4048;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=219534;CC Les Portes de l'Ile de France (CCPIF);Communauté de communes;ServiceId=310774;assainissement collectif : DSP VEOLIA : Cravent;Délégation;438;Confirmé / publié;428;Sans anomalie apparente;0;1,81;Sans anomalie apparente;1;168;0;159,82;41,9;0;15;0;22,76;0;428;10;2,55;0,185;70109;0;;0,125;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,3318;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=219534;CC Les Portes de l'Ile de France (CCPIF);Communauté de communes;ServiceId=310834;assainissement collectif : DSP VEOLIA : collecte de Gommecourt;Délégation;674;Confirmé / publié;430;Sans anomalie apparente;0;2,61;Sans anomalie apparente;1;210;0;159,82;50,66;0;102,6;0;53,57;0;430;10;2,05;0,185;40891;0;;0,855;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,3318;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=219534;CC Les Portes de l'Ile de France (CCPIF);Communauté de communes;ServiceId=158685;assainissement collectif : DSP VEOLIA:  Notre-Dame-de-la-Mer  / Blaru;Délégation;1541;Confirmé / publié;1152;Sans anomalie apparente;0;2,52;Sans anomalie apparente;1;463;0;159,82;49,7;0;93;0;20,2;0;1152;10;2,49;0,185;222824;0;;0,775;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,3318;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=219534;CC Les Portes de l'Ile de France (CCPIF);Communauté de communes;ServiceId=219536;assainissement collectif : DSP VEOLIA : Collecte Menerville / Boissy-Mauvoisin;Délégation;824;Confirmé / publié;841;Sans anomalie apparente;0;2,01;Sans anomalie apparente;1;335;0;159,82;44,18;0;37,8;0;29,91;0;841;10;2,51;0,185;122219;0;;0,315;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,3318;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=219534;CC Les Portes de l'Ile de France (CCPIF);Communauté de communes;ServiceId=310794;assainissement collectif : DSP VEOLIA : Saint-Illiers-la-Ville / Lommoye;Délégation;1066;Confirmé / publié;817;Sans anomalie apparente;0;2,1;Sans anomalie apparente;1;355;0;159,82;45,08;0;46,8;0;27,08;0;817;10;2,3;0,185;172273;0;;0,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,3318;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=219534;CC Les Portes de l'Ile de France (CCPIF);Communauté de communes;ServiceId=158476;assainissement collectif : DSP VEOLIA / BONNIERES FRENEUSE;Délégation;9023;Confirmé / publié;9135;Sans anomalie apparente;0;2,52;Sans anomalie apparente;1;3442;0;159,82;49,7;0;93;0;77,7;0;9135;10;2,65;0,185;713385;0;;0,775;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,3318;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=219557;HYDREAULYS;Syndicat Mixte;ServiceId=158781;assainissement collectif : Système Assainissement Val de Gally;Délégation;17581;Confirmé / publié;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=158318;Beynes;Commune;ServiceId=158512;assainissement collectif;Délégation;7662;Confirmé / publié;7676;Sans anomalie apparente;0;2,46;Sans anomalie apparente;1;2383;0;104,86;49,07;;141,6;;55,85;0;7676;10;3,22;0,185;546000;0;;1,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,8738;;;;;;;;;;;;;;;;;;;;;;;;;;;
