Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Bellefontaine;95;95055;2.14;2017;;
Bellefontaine;95;95055;2.41;2018;;
Bellefontaine;95;95055;2.43;2019;;
Bellefontaine;95;95055;2.46;2020;;
Bellefontaine;95;95055;2.52;2021;;
Bellefontaine;95;95055;2.7;2022;;
Bellefontaine;95;95055;2.78;2023;;
Belloy-en-France;95;95056;3.06;2012;;
Belloy-en-France;95;95056;3.08;2013;;
Belloy-en-France;95;95056;;2014;;
Belloy-en-France;95;95056;;2015;;
Belloy-en-France;95;95056;;2016;;
Belloy-en-France;95;95056;;2017;;
Belloy-en-France;95;95056;3.43;2018;;
Belloy-en-France;95;95056;3.78;2019;;
Belloy-en-France;95;95056;3.65;2020;;
Belloy-en-France;95;95056;3.8;2021;;
Belloy-en-France;95;95056;;2022;;
Belloy-en-France;95;95056;4.24;2023;;
Bernes-sur-Oise;95;95058;;2012;;
Bernes-sur-Oise;95;95058;;2013;;
Bernes-sur-Oise;95;95058;;2014;;
Bernes-sur-Oise;95;95058;;2015;;
Bernes-sur-Oise;95;95058;2.17;2016;;
Bernes-sur-Oise;95;95058;;2017;;
Bernes-sur-Oise;95;95058;;2018;;
Bernes-sur-Oise;95;95058;;2019;;
Bernes-sur-Oise;95;95058;2.05;2020;;
Bernes-sur-Oise;95;95058;2.03;2021;;
Bernes-sur-Oise;95;95058;2.1;2022;;
Bernes-sur-Oise;95;95058;2.25;2023;;
Bessancourt;95;95060;2.05;2012;;
Bessancourt;95;95060;2.04;2013;;
Bessancourt;95;95060;2.05;2014;;
Bessancourt;95;95060;2.06;2015;;
Bessancourt;95;95060;1.97;2016;;
Bessancourt;95;95060;1.97;2017;;
Bessancourt;95;95060;1.97;2018;;
Bessancourt;95;95060;1.86;2019;;
Bessancourt;95;95060;2.09;2020;;
Bessancourt;95;95060;2.13;2021;;
Bessancourt;95;95060;2.25;2022;;
Bessancourt;95;95060;2.32;2023;;
Béthemont-la-Forêt;95;95061;2.05;2012;;
Béthemont-la-Forêt;95;95061;2.04;2013;;
