Nom de la commune adhérente,Somme de Tarif zone tarifaire 1,Somme de DPT de la commune,Somme de Code INSEE de la commune adhérente,Somme de Identifiant SISPEA de la commune adhérente
Loivre,2.53,51,51329,19937
Mazières-en-Mauges,2.53,49,49195,18847
Mornant,2.53,69,69141,28841
Murat-le-Quaire,2.53,63,63246,26326
Nuaillé,2.53,49,49231,18881
Orliénas,2.53,69,69148,28848
Oursbelille,2.53,65,65350,27442
Pontarlier,2.53,25,25462,9911
Riverie,2.53,69,69166,28866
Rocbaron,2.53,83,83106,34343
Roquecourbe,2.53,81,81227,33944
Saint-Christophe-du-Bois,2.53,49,49269,18918
Saint-Diéry,2.53,63,63335,260502
Saintes,2.53,17,17415,6582
Saint-Genou,2.53,36,36194,14643
Saint-Laurent-d'Agny,2.53,69,69219,28919
Saint-Léger-sous-Cholet,2.53,49,49299,18944
Saint-Loup-des-Vignes,2.53,45,45288,17760
Saint-Maurice-sur-Moselle,2.53,88,88426,35715
Saint-Parthem,2.53,12,12240,4624
Saint-Romain-en-Gier,2.53,69,69236,28934
Saint-Santin,2.53,12,12246,4630
Senozan,2.53,71,71513,30039
Taluyers,2.53,69,69241,28939
Toutlemonde,2.53,49,49352,18996
Trémentines,2.53,49,49355,18999
Verrières-de-Joux,2.53,25,25609,10051
Vezins,2.53,49,49371,19014
Villers-Franqueux,2.53,51,51633,20217
Viviez,2.53,12,12305,4688
Vourles,2.53,69,69268,28965
Vuillecin,2.53,25,25634,10076
Ambazac,2.52,87,87002,35107
Andrest,2.52,65,65007,27105
Audun-le-Tiche,2.52,57,57038,22330
Authieule,2.52,80,80044,32978
Barbezieux-Saint-Hilaire,2.52,16,16028,5800
Beauche,2.52,28,28030,11150
Beauquesne,2.52,80,80070,33004
Bersac-sur-Rivalier,2.52,87,87013,35117
Bessines-sur-Gartempe,2.52,87,87014,35118
Breuilaufa,2.52,87,87022,35126
Brou,2.52,28,28061,11180
Brouzet-lès-Quissac,2.52,30,30054,11861
Chamboret,2.52,87,87033,35137
Chevaigné-du-Maine,2.52,53,53069,20743
Compreignac,2.52,87,87047,35151
Daoulas,2.52,29,29043,11566
Dirinon,2.52,29,29045,11568
Doullens,2.52,80,80253,33182
Écommoy,2.52,72,72124,30233
Épône,2.52,78,78217,32444
Esvres,2.52,37,37104,14800
Folles,2.52,87,87067,35171
Fromental,2.52,87,87068,35172
Gohory,2.52,28,28182,11294
Hanvec,2.52,29,29078,11600
Hôpital-Camfrout,2.52,29,29080,11602
Irvillac,2.52,29,29086,11608
Jabreilles-les-Bordes,2.52,87,87076,35180
Joigny-sur-Meuse,2.52,8,8237,2935
La Forest-Landerneau,2.52,29,29056,11578
La Jonchère-Saint-Maurice,2.52,87,87079,35183
La Martyre,2.52,29,29144,11660
La Roche-Maurice,2.52,29,29237,11746
Laigné-en-Belin,2.52,72,72155,30263
Landerneau,2.52,29,29103,11622
Lanneuffret,2.52,29,29116,11635
Laons,2.52,28,28206,11317
Lassay-les-Châteaux,2.52,53,53127,20799
Laurière,2.52,87,87083,35187
Le Buis,2.52,87,87023,35127
Le Housseau-Brétignolles,2.52,53,53118,20790
Le Tréhou,2.52,29,29294,11799
Les Billanges,2.52,87,87016,35120
Les Epesses,2.52,85,85082,34618
Les Herbiers,2.52,85,85109,34644
Logonna-Daoulas,2.52,29,29137,11654
Loperhet,2.52,29,29140,11656
Lublé,2.52,37,37137,14833
Manot,2.52,16,16205,5974
Manzat,2.52,63,63206,26287
Marigné-Laillé,2.52,72,72187,30295
Meigneux,2.52,77,77286,32131
Mesnard-la-Barotière,2.52,85,85144,34677
Mézières-sur-Seine,2.52,78,78402,32524
Moissac-Bellevue,2.52,83,83078,34315
Moncé-en-Belin,2.52,72,72200,30308
Mouchamps,2.52,85,85153,34686
Nantiat,2.52,87,87103,35205
Nieul,2.52,87,87107,35209
Oiselay-et-Grachaux,2.52,70,70393,29359
Ozan,2.52,1,1284,542
Pencran,2.52,29,29156,11671
Ploudiry,2.52,29,29180,11693
Plouédern,2.52,29,29181,11694
Porcheux,2.52,60,60510,24492
Pouligny-Saint-Pierre,2.52,36,36165,14614
Rahay,2.52,72,72250,30356
Razès,2.52,87,87122,35224
Rédange,2.52,57,57565,22833
Rennes-en-Grenouilles,2.52,53,53189,20856
Russange,2.52,57,57603,22871
Saint-Biez-en-Belin,2.52,72,72268,30373
Saint-Christophe-du-Ligneron,2.52,85,85204,34732
Saint-Divy,2.52,29,29245,11753
Sainte-Cécile,2.52,85,85202,34731
Saint-Eloy,2.52,29,29246,11754
Sainte-Marie-du-Bois,2.52,53,53235,20900
Saint-Gervais-en-Belin,2.52,72,72287,30391
Saint-Gondran,2.52,35,35276,14366
Saint-Jean-de-Blaignac,2.52,33,33421,13624
Saint-Jouvent,2.52,87,87152,35254
Saint-Laurent-les-Églises,2.52,87,87157,35259
Saint-Léger-la-Montagne,2.52,87,87159,35261
Saint-Mars-la-Réorthe,2.52,85,85242,34766
Saint-Ouen-en-Belin,2.52,72,72306,30410
Saint-Paul-en-Pareds,2.52,85,85259,34780
Saint-Priest-Taurion,2.52,87,87178,35278
Saint-Sulpice-Laurière,2.52,87,87181,35281
Saint-Symphorien-de-Lay,2.52,42,42289,16953
Saint-Thonan,2.52,29,29268,11774
Simiane-Collongue,2.52,13,13107,4796
Teloché,2.52,72,72350,30454
Terramesnil,2.52,80,80749,33638
Thouron,2.52,87,87197,35297
Tréflévénez,2.52,29,29286,11791
Trémaouézan,2.52,29,29295,11800
Truyes,2.52,37,37263,14955
Vancé,2.52,72,72368,30471
Varilhes,2.52,9,9324,3498
Vaulry,2.52,87,87198,35298
Vendrennes,2.52,85,85301,34818
Yèvres,2.52,28,28424,11522
Acquigny,2.51,27,27003,10449
Alizay,2.51,27,27008,10454
Andé,2.51,27,27015,10461
Arvieu,2.51,12,12011,4396
Basse-Rentgen,2.51,57,57574,22842
Benerville-sur-Mer,2.51,14,14059,4862
Berg-sur-Moselle,2.51,57,57062,22354
Beyren-lès-Sierck,2.51,57,57076,22367
Blonville-sur-Mer,2.51,14,14079,4879
Boersch,2.51,67,67052,27846
Boust,2.51,57,57104,22393
Breistroff-la-Grande,2.51,57,57109,22398
Cattenom,2.51,57,57124,22413
Cervione,2.51,,,7403
Champenard,2.51,27,27142,10583
Châteaubriant,2.51,44,44036,17297
Chouzé-sur-Loire,2.51,37,37074,14770
Clef Vallée d'Eure,2.51,27,27191,220633
Collias,2.51,30,30085,11890
Contz-les-Bains,2.51,57,57152,22440
Courcelles-sur-Seine,2.51,27,27180,10620
Criquebeuf-sur-Seine,2.51,27,27188,10627
Deauville,2.51,14,14220,5013
Entrange,2.51,57,57194,22478
Escherange,2.51,57,57199,22483
Évrange,2.51,57,57203,22487
Felce,2.51,,,7416
Fixem,2.51,57,57214,22498
Gaillon,2.51,27,27275,10712
Gaudechart,2.51,60,60269,24255
Gavisse,2.51,57,57245,22527
Genlis,2.51,21,21292,7874
Ghisonaccia,2.51,,,7423
Glanville,2.51,14,14302,5088
Hagen,2.51,57,57282,22563
Haute-Kontz,2.51,57,57371,22648
Herqueville,2.51,27,27330,10765
Hettange-Grande,2.51,57,57323,22603
Heudebouville,2.51,27,27332,10767
Igoville,2.51,27,27348,10783
Incarville,2.51,27,27351,10786
Kanfen,2.51,57,57356,22635
La Haye-le-Comte,2.51,27,27321,10757
La Haye-Malherbe,2.51,27,27322,10758
La Saussaye,2.51,27,27616,11038
Le Manoir,2.51,27,27386,10819
Le Val d'Hazey,2.51,27,27022,220584
Le Vaudreuil,2.51,27,27528,10954
Léry,2.51,27,27365,10798
Les Damps,2.51,27,27196,10635
Les Trois Lacs,2.51,27,27676,220675
Louviers,2.51,27,27375,10808
Malleval,2.51,42,42132,16802
Martot,2.51,27,27394,10827
Mondorff,2.51,57,57475,22745
Monthieux,2.51,1,1261,521
Montmoreau,2.51,16,16230,220766
Novale,2.51,,,7461
Ortale,2.51,,,7472
Perelli,2.51,,,7480
Pero-Casevecchie,2.51,,,7481
Piazzali,2.51,,,7484
Pietricaggio,2.51,,,7495
Pinterville,2.51,27,27456,10886
Piobetta,2.51,,,7500
Pîtres,2.51,27,27458,10888
Plescop,2.51,56,56158,22190
Poggio-Mezzana,2.51,,,7506
Pont-de-l'Arche,2.51,27,27469,10898
Poses,2.51,27,27474,10903
Puttelange-lès-Thionville,2.51,57,57557,22825
Rodemack,2.51,57,57588,22856
Roussy-le-Village,2.51,57,57600,22868
Saint-Aubin-sur-Gaillon,2.51,27,27517,10943
Saint-Didier-des-Bois,2.51,27,27534,10960
Saint-Étienne-du-Vauvray,2.51,27,27537,10963
Saint-Gatien-des-Bois,2.51,14,14578,5339
Saint-Georges-Motel,2.51,27,27543,10969
Saint-Julien-de-la-Liègue,2.51,27,27553,10979
Saint-Martin-d'Aubigny,2.51,50,50510,19498
Saint-Pierre-du-Vauvray,2.51,27,27598,11020
Saint-Pierre-la-Garenne,2.51,27,27599,11021
Saint-Remèze,2.51,7,7291,2662
San-Giovanni-di-Moriani,2.51,,,7543
San-Giuliano,2.51,,,7544
San-Nicolao,2.51,,,7551
Santa-Lucia-di-Moriani,2.51,,,7548
Santa-Maria-Poggio,2.51,,,7550
Sant'Andréa-di-Cotone,2.51,,,7537
Santa-Reparata-di-Moriani,2.51,,,7555
Sauve,2.51,30,30311,12115
Septfontaines,2.51,25,25541,9989
Surville,2.51,27,27624,11045
Taglio-Isolaccio,2.51,,,7556
Talasani,2.51,,,7557
Tarbes,2.51,65,65440,27530
Tarrano,2.51,,,7559
Touques,2.51,14,14699,5451
Tourgéville,2.51,14,14701,5453
Trouville-sur-Mer,2.51,14,14715,5467
Val-Couesnon,2.51,35,35004,260610
Val-de-Reuil,2.51,27,27701,11121
Valle-d'Alesani,2.51,,,7565
Valle-di-Campoloro,2.51,,,7566
Vauville,2.51,14,14731,5482
Velone-Orneto,2.51,,,7570
Villers-sur-le-Roule,2.51,27,27691,11111
Villers-sur-Mer,2.51,14,14754,5504
Villerville,2.51,14,14755,5505
Vironvay,2.51,27,27697,11117
Volmerange-les-Mines,2.51,57,57731,22992
Yèvre-la-Ville,2.51,45,45348,17816
Zoufftgen,2.51,57,57764,23022
Ancey,2.5,21,21013,7599
Avoine,2.5,37,37011,14708
Beaumarchés,2.5,32,32036,12783
Beaumont-en-Véron,2.5,37,37022,14718
Beauvais,2.5,60,60057,24045
Blaisy-Bas,2.5,21,21080,7665
Bolquère,2.5,66,66020,27592
Bragny-sur-Saône,2.5,71,71054,29592
Candes-Saint-Martin,2.5,37,37042,14738
Chasselas,2.5,71,71108,29645
Chinon,2.5,37,37072,14768
Cinais,2.5,37,37076,14772
Cirey-sur-Vezouze,2.5,54,54129,21068
Couziers,2.5,37,37088,14784
Cravant-les-Côteaux,2.5,37,37089,14785
Diarville,2.5,54,54156,21095
Espartignac,2.5,19,19076,7016
Fellering,2.5,68,68089,28410
Fleurey-sur-Ouche,2.5,21,21273,7855
Fuissé,2.5,71,71210,29745
Geishouse,2.5,68,68102,28423
Gergueil,2.5,21,21293,7875
Goldbach-Altenbach,2.5,68,68106,28427
Grand-Auverné,2.5,44,44065,17325
Guignen,2.5,35,35127,14219
Huismes,2.5,37,37118,14814
Husseren-Wesserling,2.5,68,68151,28472
Kruth,2.5,68,68171,28492
La Malachère,2.5,70,70326,29301
La Roche-Clermault,2.5,37,37202,14897
Le Plessis-Dorin,2.5,41,41177,16555
Lerné,2.5,37,37126,14822
Leynes,2.5,71,71258,29792
Mâlain,2.5,21,21373,7955
Malmerspach,2.5,68,68199,28520
Marciac,2.5,32,32233,12978
Mitzach,2.5,68,68211,28532
Mollau,2.5,68,68213,28534
Montet-et-Bouxal,2.5,46,46203,18019
Montigny-Lencoup,2.5,77,77311,32156
Moosch,2.5,68,68217,28538
Oderen,2.5,68,68247,28566
Oermingen,2.5,67,67355,28130
Ozenay,2.5,71,71338,29870
Percey-le-Grand,2.5,70,70406,29372
Ranspach,2.5,68,68262,28581
Saint-Amarin,2.5,68,68292,28611
Saint-Amour-Bellevue,2.5,71,71385,29917
Saint-André-les-Alpes,2.5,4,4173,1980
Saint-Baussant,2.5,54,54470,21402
Saint-Benoît-la-Forêt,2.5,37,37210,14905
Saint-Chinian,2.5,34,34245,13999
Sainte-Marie-sur-Ouche,2.5,21,21559,8138
Saint-Germain-sur-Vienne,2.5,37,37220,14914
Savigny-en-Véron,2.5,37,37242,14934
Sazilly,2.5,37,37244,14936
Seuilly,2.5,37,37248,14940
Sombernon,2.5,21,21611,8190
Storckensohn,2.5,68,68328,28647
Tasque,2.5,32,32440,13184
Thizay,2.5,37,37258,14950
Tillac,2.5,32,32446,13190
Urbès,2.5,68,68344,28662
Varennes-lès-Mâcon,2.5,71,71556,30081
Wildenstein,2.5,68,68370,28686
Aiffres,2.49,79,79003,32632
Altkirch,2.49,68,68004,28328
Amuré,2.49,79,79009,32638
Arçais,2.49,79,79010,32639
Archamps,2.49,74,74016,30809
Beauvoir-sur-Niort,2.49,79,79031,32656
Beine-Nauroy,2.49,51,51046,19667
Béligneux,2.49,1,1032,314
Berentzwiller,2.49,68,68027,28351
Berru,2.49,51,51052,19673
Bertrange,2.49,57,57067,22359
Bessines,2.49,79,79034,32659
Bettendorf,2.49,68,68033,28357
Bettlach,2.49,68,68034,28358
Bisel,2.49,68,68039,28363
Bossey,2.49,74,74044,30833
Bousse,2.49,57,57102,22391
Bréhan,2.49,56,56024,22057
Bressols,2.49,82,82025,34068
Brue-Auriac,2.49,83,83025,34262
Brûlain,2.49,79,79058,32680
Carspach,2.49,68,68062,28383
Cercié,2.49,69,69036,28737
Chaponnay,2.49,69,69270,28967
Chauray,2.49,79,79081,32700
Chênex,2.49,74,74069,30857
Chevrier,2.49,74,74074,30862
Cléguérec,2.49,56,56041,22074
Collonges-sous-Salève,2.49,74,74082,30870
Coulon,2.49,79,79100,32716
Crédin,2.49,56,56047,22080
Dagneux,2.49,1,1142,415
Dingy-en-Vuache,2.49,74,74101,30888
Durlinsdorf,2.49,68,68074,28395
Durmenach,2.49,68,68075,28396
Échiré,2.49,79,79109,32725
Emlingen,2.49,68,68080,28401
Épannes,2.49,79,79112,32727
Feigères,2.49,74,74124,30909
Feldbach,2.49,68,68087,28408
Ferrette,2.49,68,68090,28411
Fislis,2.49,68,68092,28413
Franken,2.49,68,68096,28417
Froeningen,2.49,68,68099,28420
Frontenay-Rohan-Rohan,2.49,79,79130,32745
Germond-Rouvre,2.49,79,79133,32748
Granzay-Gript,2.49,79,79137,32752
Grattery,2.49,70,70278,29254
Gueltas,2.49,56,56072,22105
Guénange,2.49,57,57269,22551
Guern,2.49,56,56076,22109
Hausgauen,2.49,68,68124,28445
Heidwiller,2.49,68,68127,28448
Heimersdorf,2.49,68,68128,28449
Heiwiller,2.49,68,68131,28452
Hirsingue,2.49,68,68138,28459
Hirtzbach,2.49,68,68139,28460
Hochstatt,2.49,68,68141,28462
Hundsbach,2.49,68,68148,28469
Illfurth,2.49,68,68152,28473
Illtal,2.49,68,68240,220245
Ingwiller,2.49,67,67222,28007
Jettingen,2.49,68,68158,28479
Jonzier-Épagny,2.49,74,74144,30927
Kerfourn,2.49,56,56092,22125
Kergrist,2.49,56,56093,22126
Koestlach,2.49,68,68169,28490
La Boisse,2.49,1,1049,330
La Châtaigneraie,2.49,85,85059,34598
La Roque-Gageac,2.49,24,24355,9262
Latronche,2.49,19,19110,7050
Le Sourn,2.49,56,56246,22276
Les Chères,2.49,69,69055,28756
Levoncourt,2.49,68,68181,28502
Liebsdorf,2.49,68,68184,28505
Liginiac,2.49,19,19113,7053
Ligsdorf,2.49,68,68186,28507
Linsdorf,2.49,68,68187,28508
Luc-sur-Orbieu,2.49,11,11210,4157
Luemschwiller,2.49,68,68191,28512
Lutter,2.49,68,68194,28515
Malguénac,2.49,56,56125,22157
Mauzé-sur-le-Mignon,2.49,79,79170,32779
Mazangé,2.49,41,41131,16510
Menchhoffen,2.49,67,67289,28069
Moernach,2.49,68,68212,28533
Montigny-le-Chartif,2.49,28,28261,11369
Montluel,2.49,1,1262,522
Muespach,2.49,68,68221,28541
Muespach-le-Haut,2.49,68,68222,28542
Neulliac,2.49,56,56146,22178
Neydens,2.49,74,74201,30983
Niedersoultzbach,2.49,67,67333,28108
Niévroz,2.49,1,1276,535
Niort,2.49,79,79191,32797
Nogent-l'Abbesse,2.49,51,51403,20002
Noyal-Pontivy,2.49,56,56151,22183
Obermorschwiller,2.49,68,68245,28564
Obersoultzbach,2.49,67,67352,28127
Oltingue,2.49,68,68248,28567
Orgnac-l'Aven,2.49,7,7168,2542
Pizay,2.49,1,1297,554
Pleugriffet,2.49,56,56160,22192
Pontivy,2.49,56,56178,22210
Prahecq,2.49,79,79216,32818
Radenac,2.49,56,56189,22221
Raedersdorf,2.49,68,68259,28578
Réguiny,2.49,56,56190,22222
Riespach,2.49,68,68273,28592
Rohan,2.49,56,56198,22230
Roppentzwiller,2.49,68,68284,28603
Ruederbach,2.49,68,68288,28607
Rurange-lès-Thionville,2.49,57,57602,22870
Saint-Connec,2.49,22,22285,8566
Sainte-Brigitte,2.49,56,56209,22241
Saint-Gelais,2.49,79,79249,32841
Saint-Gérand-Croixanvec,2.49,56,56213,316120
Saint-Gonnery,2.49,56,56215,22247
Saint-Hilaire-la-Palud,2.49,79,79257,32849
Saint-Huruge,2.49,71,71427,29958
Saint-Julien-en-Genevois,2.49,74,74243,31021
Saint-Laurent-Médoc,2.49,33,33424,13627
Saint-Martin-des-Noyers,2.49,85,85246,34770
Saint-Maxire,2.49,79,79281,32869
Saint-Thuriau,2.49,56,56237,22267
Sansais,2.49,79,79304,32888
Schwoben,2.49,68,68303,28622
Sciecq,2.49,79,79308,32892
Séglien,2.49,56,56242,22272
Sérandon,2.49,19,19256,7194
Silfiac,2.49,56,56245,22275
Spechbach,2.49,68,68320,220609
Steinsoultz,2.49,68,68325,28644
Tagolsheim,2.49,68,68332,28651
Tagsdorf,2.49,68,68333,28652
Tivernon,2.49,45,45325,17793
Uttwiller,2.49,67,67503,28271
Valleiry,2.49,74,74288,31061
Vieux-Ferrette,2.49,68,68347,28664
Viry,2.49,74,74309,31081
Vulbens,2.49,74,74314,31086
Waldighofen,2.49,68,68355,28672
Walheim,2.49,68,68356,28673
Weinbourg,2.49,67,67521,28288
Weiterswiller,2.49,67,67524,28291
Werentzhouse,2.49,68,68363,28680
Willer,2.49,68,68371,28687
Wittersdorf,2.49,68,68377,28693
Agel,2.48,34,34004,13758
Ambierle,2.48,42,42003,16677
Ambrus,2.48,47,47008,18164
Arcon,2.48,42,42008,16682
Arnouville-lès-Mantes,2.48,78,78020,32376
Barbaste,2.48,47,47021,18177
Bassoues,2.48,32,32032,12779
Brioude,2.48,43,43040,17041
Changy,2.48,42,42049,16722
Combre,2.48,42,42068,16740
Commelle-Vernay,2.48,42,42069,16741
Coutouvre,2.48,42,42074,16746
Écueillé,2.48,36,36069,14518
Fourques-sur-Garonne,2.48,47,47101,18257
Grand-Aigueblanche,2.48,73,73003,260530
Guewenheim,2.48,68,68115,28436
Hargeville,2.48,78,78300,32479
Jargeau,2.48,45,45173,17645
La Cavalerie,2.48,12,12063,4448
La Léchère,2.48,73,73187,260393
La Marne,2.48,44,44090,17350
La Pacaudière,2.48,42,42163,16832
Laparade,2.48,47,47135,18290
Lauw,2.48,68,68179,28500
Lavardac,2.48,47,47143,18298
Le Coteau,2.48,42,42071,16743
Le Crozet,2.48,42,42078,16750
Le Magnoray,2.48,140,140632,58582
Lentigny,2.48,42,42120,16790
Les Avanchers-Valmorel,2.48,73,73024,30510
Les Noës,2.48,42,42158,16827
Leyritz-Moncassin,2.48,47,47148,18303
Mably,2.48,42,42127,16797
Marclopt,2.48,42,42135,16805
Moisy,2.48,41,41141,16520
Monthelon,2.48,122,122691,49827
Montpouillan,2.48,47,47191,18343
Noailly,2.48,42,42157,16826
Notre-Dame-de-Boisset,2.48,42,42161,16830
Ouches,2.48,42,42162,16831
Parigny,2.48,42,42166,16835
Perreux,2.48,42,42170,16839
Pindères,2.48,47,47205,18357
Pompiey,2.48,47,47207,18359
Pont-de-Barret,2.48,26,26249,10316
Pouilly-les-Nonains,2.48,42,42176,16845
Puch-d'Agenais,2.48,47,47214,18366
Renaison,2.48,42,42182,16851
Riom-ès-Montagnes,2.48,15,15162,5671
Riorges,2.48,42,42184,16853
Roanne,2.48,42,42187,16856
Ronsenac,2.48,16,16283,6047
Sail-les-Bains,2.48,42,42194,16862
Saint-Affrique,2.48,12,12208,4592
Saint-Alban-les-Eaux,2.48,42,42198,16866
Saint-André-d'Apchon,2.48,42,42199,16867
Saint-Bonnet-des-Quarts,2.48,42,42203,16871
Saint-Céré,2.48,46,46251,18067
Sainte-Bazeille,2.48,47,47233,18385
Sainte-Marthe,2.48,47,47253,18404
Saint-Forgeux-Lespinasse,2.48,42,42220,16888
Saint-Germain-Lespinasse,2.48,42,42231,16899
Saint-Haon-le-Châtel,2.48,42,42232,16900
Saint-Haon-le-Vieux,2.48,42,42233,16901
Saint-Jean-d'Arves,2.48,73,73242,30711
Saint-Jean-Saint-Maurice-sur-Loire,2.48,42,42239,16907
Saint-Lactencin,2.48,36,36198,14647
Saint-Léger-sur-Roanne,2.48,42,42253,16919
Saint-Martin-d'Estréaux,2.48,42,42257,16923
Saint-Rirand,2.48,42,42281,16945
Saint-Romain-la-Motte,2.48,42,42284,16948
Saint-Sébastien,2.48,23,23239,8900
Saint-Sorlin-d'Arves,2.48,73,73280,30747
Saint-Vincent-de-Boisset,2.48,42,42294,16957
Salles-Curan,2.48,12,12253,4637
Sentheim,2.48,68,68304,28623
Thézan-lès-Béziers,2.48,34,34310,14063
Urbise,2.48,42,42317,16979
Val-de-Bride,2.48,57,57270,22552
Valzergues,2.48,12,12289,4673
Vianne,2.48,47,47318,18466
Villemontais,2.48,42,42331,16993
Villerest,2.48,42,42332,16994
Vitré,2.48,35,35360,14447
Vivans,2.48,42,42337,16999
Youx,2.48,63,63471,26549
Aix-en-Issart,2.47,62,62018,25204
Anduze,2.47,30,30010,11817
Angoulême,2.47,16,16015,5788
Arces-Dilo,2.47,89,89014,35835
Asnières-sur-Nouère,2.47,16,16019,5792
Aubin-Saint-Vaast,2.47,62,62046,25232
Auchy-lès-Hesdin,2.47,62,62050,25236
Azincourt,2.47,62,62069,25255
Balzac,2.47,16,16026,5798
Béalencourt,2.47,62,62090,25276
Beaurainville,2.47,62,62100,25285
Bellac,2.47,87,87011,35115
Blangy-sur-Ternoise,2.47,62,62138,25321
Blingel,2.47,62,62142,25325
Boisjean,2.47,62,62150,25333
Boubers-lès-Hesmond,2.47,62,62157,25340
Bouëx,2.47,16,16055,5827
Bouin-Plumoison,2.47,62,62661,25836
Brévillers,2.47,62,62175,25357
Brignon,2.47,30,30053,11860
Brimeux,2.47,62,62177,25359
Buire-le-Sec,2.47,62,62183,25365
Buzy-Darmont,2.47,55,55094,21615
Campagne-lès-Hesdin,2.47,62,62204,25386
Capelle-lès-Hesdin,2.47,62,62212,25394
Cavron-Saint-Martin,2.47,62,62220,25402
Cerisiers,2.47,89,89066,35884
Chanoy,2.47,52,52106,20327
Chauvigny-du-Perche,2.47,41,41048,16430
Chériennes,2.47,62,62222,25404
Cluis,2.47,36,36056,14505
Cornillon-Confoux,2.47,13,13029,4718
Courcy,2.47,51,51183,19797
Courgenay,2.47,89,89122,35934
Deaux,2.47,30,30101,11906
Dignac,2.47,16,16119,5890
Dirac,2.47,16,16120,5891
Douriez,2.47,62,62275,25457
Éclimeux,2.47,62,62282,25464
Fillièvres,2.47,62,62335,25515
Fléac,2.47,16,16138,5908
Frédéric-Fontaine,2.47,70,70254,29232
Fresnoy,2.47,62,62357,25537
Galametz,2.47,62,62365,25545
Garat,2.47,16,16146,5916
Glanes,2.47,46,46124,17940
Gond-Pontouvre,2.47,16,16154,5924
Gouy-Saint-André,2.47,62,62382,25562
Grans,2.47,13,13044,4733
Guigny,2.47,62,62395,25574
Guisy,2.47,62,62398,25577
Hermonville,2.47,51,51291,19900
Hesdin,2.47,62,62447,25624
Hesmond,2.47,62,62449,25626
Huby-Saint-Leu,2.47,62,62461,25638
Incourt,2.47,62,62470,25647
Jauldes,2.47,16,16168,5937
L' Isle-d'Espagnac,2.47,16,16166,5935
La Couronne,2.47,16,16113,5884
La Ferté-Bernard,2.47,72,72132,30241
La Loge,2.47,62,62521,25697
Labroye,2.47,62,62481,25658
Le Parcq,2.47,62,62647,25822
Le Quesnoy-en-Artois,2.47,62,62677,25852
Les Clérimois,2.47,89,89111,35925
Les Vallées de la Vanne,2.47,89,89411,220492
Lespinoy,2.47,62,62501,25677
Linars,2.47,16,16187,5956
Loison-sur-Créquoise,2.47,62,62522,25698
Macouria,2.47,973,97305,36955
Magnac-sur-Touvre,2.47,16,16199,5968
Maintenay,2.47,62,62538,25714
Maisoncelle,2.47,62,62541,25717
Marant,2.47,62,62547,25723
Marconne,2.47,62,62549,25725
Marconnelle,2.47,62,62550,25726
Marenla,2.47,62,62551,25727
Maresquel-Ecquemicourt,2.47,62,62552,25728
Marles-sur-Canche,2.47,62,62556,25732
Massanes,2.47,30,30161,11965
Matoury,2.47,973,97307,36957
Maureillas-las-Illas,2.47,66,66106,27676
Molinons,2.47,89,89261,36065
Montsinéry-Tonnegrande,2.47,973,97313,36963
Mornac,2.47,16,16232,6000
Mouriez,2.47,62,62596,25771
Mouthiers-sur-Boëme,2.47,16,16236,6003
Nancray-sur-Rimarde,2.47,45,45220,17692
Nersac,2.47,16,16244,6011
Neulette,2.47,62,62605,25780
Nogent-le-Bernard,2.47,72,72220,30327
Noyelles-lès-Humières,2.47,62,62625,25800
Offin,2.47,62,62635,25810
Parfondrupt,2.47,55,55400,21874
Plessis-Saint-Benoist,2.47,91,91495,36514
Puymoyen,2.47,16,16271,6036
Raye-sur-Authie,2.47,62,62690,25864
Regnauville,2.47,62,62700,25874
Remire-Montjoly,2.47,973,97309,36959
Rollancourt,2.47,62,62719,25892
Roullet-Saint-Estèphe,2.47,16,16287,6051
Roura,2.47,973,97310,36960
Roussent,2.47,62,62723,25896
Ruelle-sur-Touvre,2.47,16,16291,6054
Saint-Denoeux,2.47,62,62745,25918
Saint-Hippolyte-de-Caton,2.47,30,30261,12065
Saint-Jean-lès-Buzy,2.47,55,55458,21923
Saint-Maurice-de-Cazevieille,2.47,30,30285,12089
Saint-Rémy-au-Bois,2.47,62,62768,25941
Saint-Yrieix-sur-Charente,2.47,16,16358,6113
Saulchoy,2.47,62,62783,25956
Sempy,2.47,62,62787,25960
Sers,2.47,16,16368,6122
Sireuil,2.47,16,16370,6124
Soyaux,2.47,16,16374,6128
Torsac,2.47,16,16382,6136
Tortefontaine,2.47,62,62824,25997
Touvre,2.47,16,16385,6139
Tramecourt,2.47,62,62828,26001
Trois-Palis,2.47,16,16388,6142
Vacqueriette-Erquières,2.47,62,62834,26007
Vaudeurs,2.47,89,89432,36226
Vieil-Hesdin,2.47,62,62850,26023
Vigneulles-lès-Hattonchâtel,2.47,55,55551,22002
Villeneuve-l'Archevêque,2.47,89,89461,36252
Vindelle,2.47,16,16415,6168
Voeuil-et-Giget,2.47,16,16418,6171
Vouzan,2.47,16,16422,6175
Wail,2.47,62,62868,26041
Wambercourt,2.47,62,62871,26044
Wamin,2.47,62,62872,26045
Willeman,2.47,62,62890,26062
Arbas,2.46,31,31011,12171
Aspet,2.46,31,31020,12179
Aubigny-Les Clouzeaux,2.46,85,85008,220526
Aubigny-sur-Nère,2.46,18,18015,6665
Aulnay-sur-Mauldre,2.46,78,78033,32380
Auragne,2.46,31,31024,12183
Auriac-sur-Vendinelle,2.46,31,31026,12185
Auribail,2.46,31,31027,12186
Avignonet-Lauragais,2.46,31,31037,12196
Bachos,2.46,31,31040,12199
