Nom de la commune adhérente,Somme de Tarif zone tarifaire 1,Somme de DPT de la commune,Somme de Code INSEE de la commune adhérente,Somme de Identifiant SISPEA de la commune adhérente
Wingersheim les Quatre Bans,7.5200000000000005,268,270156,881764
Fleury,7.5,128,128602,50820
Belforêt-en-Perche,7.49,122,122392,441828
Saint-Louis,7.49,2013,262837,102510
Sauveterre,7.470000000000001,224,225286,93268
Ponts sur Seulles,7.46,28,28710,441396
Taninges,7.46,74,74276,31050
Blargies,7.449999999999999,120,120152,48128
Marnay,7.449999999999999,227,227765,94093
Saint-Médard,7.43,134,135405,53644
La Flamengrie,7.4,61,61544,24573
Saint-Sylvestre,7.390000000000001,168,168734,68979
Fublaines,7.370000000000001,231,231597,96135
La Sentinelle,7.37,118,119128,47768
Doudeville,7.35,152,152438,62646
Reignac,7.35,49,49627,19597
Aulnoy-lez-Valenciennes,7.33,118,118064,46732
Bruay-sur-l'Escaut,7.33,118,118224,46888
Davayé,7.33,142,142338,59410
Famars,7.33,118,118442,47106
Le Breuil,7.33,143,143127,59886
Maing,7.33,118,118738,47392
Monchaux-sur-Écaillon,7.33,118,118814,47462
Saint-Saulve,7.33,118,119088,47730
Valenciennes,7.33,118,119212,47852
Fontcouverte,7.31,45,45476,16767
Rochetoirin,7.27,76,76682,30588
Saint-Priest,7.26,99,99812,40540
Sainte-Austreberthe,7.25,214,215875,89248
Saint-Ours,7.25,199,200027,83651
Buxeuil,7.23,132,132139,52923
Bargny,7.22,60,60046,24034
Bry-sur-Marne,7.2,188,188030,73312
Champagney,7.2,134,134331,54294
Champigny-sur-Marne,7.2,188,188034,73316
Charenton-le-Pont,7.2,188,188036,73318
Fontenay-sous-Bois,7.2,188,188066,73328
Joinville-le-Pont,7.2,188,188084,73338
Le Perreux-sur-Marne,7.2,188,188116,73360
Maisons-Alfort,7.2,188,188092,73344
Nogent-sur-Marne,7.2,188,188104,73350
Saint-Mandé,7.2,188,188134,73368
Saint-Maur-des-Fossés,7.2,188,188136,73370
Villiers-sur-Marne,7.2,188,188158,73390
Vincennes,7.2,188,188160,73392
Dieppe,7.18,152,152434,62642
Jussy,7.17,148,148961,59740
Marigny,7.17,121,121641,50258
Abzac,7.16,49,49002,18988
Montaigut-le-Blanc,7.140000000000001,86,86366,35110
Chaulnes,7.14,160,160372,66230
Lihons,7.14,160,160962,66786
Cahuzac,7.1,139,139150,55972
Les Angles,7.09,161,161026,66502
Pujols,7.09,80,80559,31916
Beauvoir,7.07,127,127071,50944
Val-de-Livenne,7.0600000000000005,66,66760,521014
Bon Repos sur Blavet,7.050000000000001,66,66321,662709
Aunac-sur-Charente,7.04,32,32046,441848
Beaugeay,7.04,34,34072,12424
Puyréaux,7.04,32,32544,12074
Saint-Rémy-de-la-Vanne,7.04,77,77432,32270
Saint-Siméon,7.04,77,77436,32274
La Boissière,7.03,101,101150,39380
Larré,7.03,117,117332,47041
La Garde,7.02,125,125331,51351
Champeaux,7,112,112134,46078
Forges,7,94,94360,38378
Sartilly-Baie-Bocage,7,100,101130,440832
Grignols,6.98,57,57400,22523
Sapois,6.9799999999999995,215,216387,87439
Acquin-Westbécourt,6.96,62,62008,25194
Boisdinghem,6.96,62,62149,25332
Leulinghem,6.96,62,62504,25680
Quelmes,6.96,62,62674,25849
Quercamps,6.96,62,62675,25850
Zudausques,6.96,62,62905,26077
Les Avenières Veyrins-Thuellin,6.95,76,76044,440502
Montmorency,6.95,285,286284,110445
Neuville,6.949999999999999,82,82401,33421
Aubervilliers,6.92,186,186002,73222
Épinay-sur-Seine,6.92,186,186062,73246
Guipry-Messac,6.92,70,70352,440232
L' Île-Saint-Denis,6.92,186,186078,73252
La Courneuve,6.92,186,186054,73240
Pierrefitte-sur-Seine,6.92,186,186118,73274
Saint-Ouen-sur-Seine,6.92,186,186140,73286
Stains,6.92,186,186144,73290
Villetaneuse,6.92,186,186158,73300
Sainte-Geneviève,6.91,114,115049,45963
Valleroy,6.9,131,132627,52138
Verdelot,6.9,77,77492,32329
Montagny,6.8999999999999995,184,184442,76287
Roquefort,6.8999999999999995,119,119817,47762
Nozay,6.89,226,227029,90379
Bonneville,6.88,154,154155,63874
Le Teilleul,6.88,100,101182,440674
Herbeville,6.86,78,78305,32481
