Commune,Departement,Code INSEE,D204.0,Année
Bièvres,91,91064,,2012
Blandy,91,91067,,2012
Blennes,77,77035,,2012
Bobigny,93,93008,2.6,2012
Boigneville,91,91069,,2012
Boinville-en-Mantois,78,78070,,2012
Boinville-le-Gaillard,78,78071,,2012
Boinvilliers,78,78072,,2012
Bois-Colombes,92,92009,,2012
Bois-Herpin,91,91075,,2012
Bois-d'Arcy,78,78073,,2012
Bois-le-Roi,77,77037,,2012
Boisdon,77,77036,,2012
Boisemont,95,95074,,2012
Boissets,78,78076,,2012
Boissettes,77,77038,2.59,2012
Boissise-la-Bertrand,77,77039,2.59,2012
Boissise-le-Roi,77,77040,2.59,2012
Boissy-Saint-Léger,94,94004,,2012
Boissy-aux-Cailles,77,77041,,2012
Boissy-la-Rivière,91,91079,,2012
Boissy-le-Châtel,77,77042,,2012
Boissy-le-Cutté,91,91080,,2012
Boissy-le-Sec,91,91081,,2012
Boissy-sans-Avoir,78,78084,,2012
Boissy-sous-Saint-Yon,91,91085,,2012
Boitron,77,77043,,2012
Bombon,77,77044,,2012
Bondoufle,91,91086,,2012
Bondy,93,93010,2.6,2012
Bonnelles,78,78087,,2012
Bonneuil-en-France,95,95088,,2012
Bonneuil-sur-Marne,94,94011,,2012
Bouafle,78,78090,,2012
Bouffémont,95,95091,,2012
Bougival,78,78092,,2012
Boulancourt,77,77046,,2012
Bouleurs,77,77047,,2012
Boulogne-Billancourt,92,92012,,2012
Bouqueval,95,95094,,2012
Bouray-sur-Juine,91,91095,,2012
Bourdonné,78,78096,,2012
Bourg-la-Reine,92,92014,,2012
Bourron-Marlotte,77,77048,,2012
Boussy-Saint-Antoine,91,91097,,2012
Boutervilliers,91,91098,,2012
Boutigny,77,77049,,2012
Boutigny-sur-Essonne,91,91099,,2012
Bouville,91,91100,,2012
Bransles,77,77050,1.68,2012
Bray-et-Lû,95,95101,,2012
Bray-sur-Seine,77,77051,,2012
Breuil-Bois-Robert,78,78104,,2012
Breuillet,91,91105,,2012
Breux-Jouy,91,91106,,2012
Brignancourt,95,95110,,2012
Briis-sous-Forges,91,91111,,2012
Brières-les-Scellés,91,91109,,2012
Brou-sur-Chantereine,77,77055,,2012
Brouy,91,91112,,2012
Brueil-en-Vexin,78,78113,,2012
Brunoy,91,91114,,2012
Bruyères-le-Châtel,91,91115,,2012
Bry-sur-Marne,94,94015,,2012
Bréançon,95,95102,,2012
Brétigny-sur-Orge,91,91103,,2012
Bréval,78,78107,,2012
Buc,78,78117,,2012
Buchelay,78,78118,,2012
Bullion,78,78120,,2012
Buno-Bonnevaux,91,91121,,2012
Burcy,77,77056,,2012
Bures-sur-Yvette,91,91122,,2012
Bussières,77,77057,,2012
Bussy-Saint-Georges,77,77058,,2012
Bussy-Saint-Martin,77,77059,,2012
Buthiers,77,77060,,2012
Butry-sur-Oise,95,95120,,2012
Béhoust,78,78053,,2012
Béthemont-la-Forêt,95,95061,,2012
Cachan,94,94016,,2012
Cannes-Écluse,77,77061,2.65,2012
Carnetin,77,77062,,2012
Carrières-sous-Poissy,78,78123,,2012
Carrières-sur-Seine,78,78124,,2012
Cergy,95,95127,,2012
Cerneux,77,77066,,2012
Cerny,91,91129,,2012
Cesson,77,77067,,2012
Cessoy-en-Montois,77,77068,,2012
Chailly-en-Brie,77,77070,,2012
